Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
chronic cholestasis,abdominal_pain,vomiting,loss_of_appetite,yellowing_of_eyes,yellowish_skin,,,,,,,,,,,,
peptic ulcer diseae,indigestion,vomiting,abdominal_pain,loss_of_appetite,internal_itching,passage_of_gases,,,,,,,,,,,
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,
migraine,excessive_hunger,depression,acidity,irritability,stiff_neck,headache,blurred_and_distorted_vision,visual_disturbances,indigestion,,,,,,,,
hepatitis b,yellow_urine,malaise,itching,yellowing_of_eyes,lethargy,yellowish_skin,receiving_blood_transfusion,,,,,,,,,,
hepatitis e,nausea,loss_of_appetite,joint_pain,acute_liver_failure,coma,,,,,,,,,,,,
heart attack,sweating,vomiting,chest_pain,breathlessness,bloody_stool,,,,,,,,,,,,
varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf,,,,,,,,,,,
typhoid,belly_pain,nausea,toxic_look_(typhos),chills,abdominal_pain,high_fever,diarrhoea,constipation,,,,,,,,,
diabetes,excessive_hunger,lethargy,fatigue,obesity,restlessness,blurred_and_distorted_vision,,,,,,,,,,,
malaria,chills,nausea,headache,sweating,diarrhoea,vomiting,high_fever,,,,,,,,,,
arthritis,movement_stiffness,muscle_weakness,swelling_joints,painful_walking,stiff_neck,,,,,,,,,,,,
hypertension,chest_pain,headache,dizziness,lack_of_concentration,loss_of_balance,,,,,,,,,,,,
drug reaction,spotting_ urination,itching,stomach_pain,skin_rash,burning_micturition,,,,,,,,,,,,
gerd,ulcers_on_tongue,cough,vomiting,chest_pain,acidity,stomach_pain,,,,,,,,,,,
common cold,throat_irritation,headache,malaise,congestion,,,,,,,,,,,,,
pneumonia,sweating,rusty_sputum,fatigue,phlegm,high_fever,malaise,chills,chest_pain,,,,,,,,,
peptic ulcer diseae,loss_of_appetite,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
osteoarthristis,knee_pain,neck_pain,joint_pain,painful_walking,hip_joint_pain,swelling_joints,,,,,,,,,,,
arthritis,swelling_joints,stiff_neck,muscle_weakness,,,,,,,,,,,,,,
hepatitis e,yellowing_of_eyes,abdominal_pain,nausea,vomiting,fatigue,high_fever,joint_pain,stomach_bleeding,loss_of_appetite,,,,,,,,
cervical spondylosis,loss_of_balance,back_pain,neck_pain,,,,,,,,,,,,,,
migraine,visual_disturbances,irritability,stiff_neck,,,,,,,,,,,,,,
diabetes,restlessness,blurred_and_distorted_vision,weight_loss,irregular_sugar_level,,,,,,,,,,,,,
